site,pillar,indicator,raw_value,bg_median,anomaly,bg_std,bg_std_spatial,bg_std_temporal,z,score,confidence,qa,n_valid,anomaly_strength,spatial_context,extra_note
Morowali Industrial Park (IMIP),air,air.aod,234.58823380669176,104.6625,129.92573380669177,119.63212286877742,66.31798983879675,119.63212286877742,1.0860438709192284,0.3620146236397428,0.5811111111111111,0.9,0.37037037037037035,0.2,1.0,
Morowali Industrial Park (IMIP),ghg,ghg.ch4,,,,,,,,,,,,,,context — not scored (M-CH4-A1 reference)
Morowali Industrial Park (IMIP),ghg,ghg.co2,539.1417886387844,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,"context — not scored; rel_intensity=10.0 (cap 10), total_tCO2yr=41957.91684524187"
Morowali Industrial Park (IMIP),ghg,ghg.viirs,21.67710276657911,,,,,,,0.79172084958821,0.8729302123970525,0.85,0.9,0.79172084958821,1.0,"flaring_frac=0.079172084958821, lit_contrast_pct=0.9840615488072486, state=high"
Carajás iron ore mine,air,air.no2,42.30427157912559,41.04867519046421,1.255596388661381,5.553856862668429,0.9620473798017363,5.553856862668429,0.2260764761694114,0.0753588253898038,0.6901688311688312,0.9,1.0,0.025974025974025976,1.0,
Carajás iron ore mine,air,air.so2,-10.810513682115518,14.464489876311116,-25.275003558426633,45.853306027736814,28.82769419684426,45.853306027736814,-0.5512144215541994,0.0,0.6214999999999999,0.75,1.0,0.125,1.0,
Carajás iron ore mine,air,air.co,25.662635540504212,25.820799281896637,-0.15816374139242484,3.1379280555454776,0.5241509820147994,3.1379280555454776,-0.050403877524505786,0.0,0.564,0.85,1.0,0.0,1.0,
Carajás iron ore mine,air,air.hcho,95.73652462375941,108.27725970601382,-12.540735082254415,75.57485585754542,17.073809996968862,75.57485585754542,-0.165937929222029,0.0,0.6812419354838709,0.85,1.0,0.04838709677419355,1.0,
Carajás iron ore mine,air,air.pm25,,,,,,,,,,,,,,
Carajás iron ore mine,air,air.pm10,,,,,,,,,,,,,,
Carajás iron ore mine,air,air.o3,260.1527825719121,260.51971351625536,-0.3669309443432667,4.4885369477541355,0.3182966780277691,4.4885369477541355,-0.08174845135826778,0.0,0.705,0.85,1.0,0.0,1.0,
Carajás iron ore mine,air,air.aai,-0.6470048712885654,-0.6728125031165405,0.025807631827975075,0.6487194157344514,0.05523524475743682,0.6487194157344514,0.039782425501719905,0.013260808500573302,0.7138235294117646,0.85,1.0,0.03529411764705882,1.0,
Carajás iron ore mine,air,air.aod,37.428881456725705,41.23299230393106,-3.804110847205358,54.250526636997634,11.243332029631917,54.25052663699763,-0.07012117822670205,0.0,0.6533333333333334,0.9,0.7777777777777778,0.0,1.0,
Carajás iron ore mine,ghg,ghg.ch4,,,,,,,,,,,,,,context — not scored (M-CH4-A1 reference)
Carajás iron ore mine,ghg,ghg.co2,592.8776055682591,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,"context — not scored; rel_intensity=10.0 (cap 10), total_tCO2yr=46349.07869413038"
Carajás iron ore mine,ghg,ghg.viirs,8.313833044092457,,,,,,,0.027513433029067128,0.6818783582572668,0.85,0.9,0.027513433029067128,1.0,"flaring_frac=0.002751343302906713, lit_contrast_pct=0.9938064614913492, state=high"
Bayan Obo rare-earth mine,air,air.no2,72.15107859175222,69.65699075563053,2.494087836121693,34.39040699435881,1.8259432326038545,34.39040699435881,0.07252277754464516,0.024174259181548387,0.6899375,0.9,1.0,0.025,1.0,
Bayan Obo rare-earth mine,air,air.so2,24.745893455789638,33.53224115843866,-8.78634770264902,485.61888830074486,44.1944074834879,485.6188883007449,-0.018093092987782666,0.0,0.5972835820895521,0.75,1.0,0.014925373134328358,1.0,
Bayan Obo rare-earth mine,air,air.co,26.519807163107707,26.847463970727105,-0.3276568076193982,2.75920944802918,0.3565771993170181,2.75920944802918,-0.11875024850086448,0.0,0.5668985507246377,0.85,1.0,0.014492753623188406,1.0,
Bayan Obo rare-earth mine,air,air.hcho,56.14008319177664,59.27331251004778,-3.133229318271141,79.85997727160836,11.115568619722662,79.85997727160836,-0.039234037190053896,0.0,0.66975,0.85,1.0,0.0,1.0,
Bayan Obo rare-earth mine,air,air.pm25,,,,,,,,,,,,,,
Bayan Obo rare-earth mine,air,air.pm10,,,,,,,,,,,,,,
Bayan Obo rare-earth mine,air,air.o3,366.40690602072556,366.2259834401527,0.1809225805728829,30.30519307213506,0.688089609415864,30.305193072135065,0.005970019070402726,0.0019900063568009086,0.7136206896551723,0.85,1.0,0.034482758620689655,1.0,
Bayan Obo rare-earth mine,air,air.aai,0.3329683703119879,0.319375829472785,0.013592540839202916,0.44698706442804936,0.040952622735240106,0.44698706442804936,0.030409248770085787,0.010136416256695261,0.719367816091954,0.85,1.0,0.05747126436781609,1.0,
Bayan Obo rare-earth mine,air,air.aod,152.4062709871494,120.41666739569288,31.98960359145653,123.98392711484502,22.210296346359467,123.98392711484503,0.2580141179253412,0.08600470597511371,0.73984126984127,0.9,1.0,0.07936507936507936,1.0,
Bayan Obo rare-earth mine,ghg,ghg.ch4,1880.8082223676572,1887.1952830117305,-6.3870606440732445,16.12816896429058,4.00037144978734,16.12816896429058,-0.3960189565359125,0.0,0.42353042748618935,0.85,0.7037037037037037,0.0,0.4220128216441705,context — not scored (M-CH4-A1 reference)
